sensor,temperature,humidity,zone,location,timestamp
{'C631F5295273'},27.850000,36.154999,zone1,bottom,2024-06-18 16:36:23
{'C37E14567097'},19.010000,53.312500,zone3,bottom,2024-06-18 16:36:23
{'C571D4304234'},18.885000,53.557499,zone2,top,2024-06-18 16:36:24
{'EEC412FDCADF'},29.580000,36.247501,zone1,top,2024-06-18 16:46:24
{'C571D4304234'},18.740000,54.340000,zone2,top,2024-06-18 16:46:25
{'C571D4304234'},18.405001,54.685001,zone2,top,2024-06-18 16:56:24
{'DBC358D90370'},18.070000,55.775002,zone3,top,2024-06-18 16:56:25
{'C4D912ED63C6'},18.180000,54.922501,zone2,bottom,2024-06-18 16:56:25
{'C571D4304234'},18.110001,55.672501,zone2,top,2024-06-18 17:06:25
{'C4D912ED63C6'},17.945000,55.924999,zone2,bottom,2024-06-18 17:06:25
{'EEC412FDCADF'},20.315001,46.320000,zone1,top,2024-06-18 17:06:26
{'C571D4304234'},17.690001,57.382500,zone2,top,2024-06-18 17:16:25
{'C4D912ED63C6'},17.565001,57.402500,zone2,bottom,2024-06-18 17:16:26
{'C631F5295273'},18.320000,53.500000,zone1,bottom,2024-06-18 17:26:26
{'C4D912ED63C6'},17.225000,58.717499,zone2,bottom,2024-06-18 17:26:26
{'DBC358D90370'},17.139999,59.677502,zone3,top,2024-06-18 17:26:26
{'C37E14567097'},17.040001,60.472500,zone3,bottom,2024-06-18 17:36:26
{'EEC412FDCADF'},17.150000,57.552502,zone1,top,2024-06-18 17:36:27
{'DBC358D90370'},16.445000,62.615002,zone3,top,2024-06-18 17:46:26
{'C4D912ED63C6'},16.565001,62.029999,zone2,bottom,2024-06-18 17:46:27
{'C631F5295273'},16.610001,62.162498,zone1,bottom,2024-06-18 17:56:26
{'EEC412FDCADF'},16.420000,61.277500,zone1,top,2024-06-18 17:56:26
{'C4D912ED63C6'},16.209999,63.492500,zone2,bottom,2024-06-18 17:56:27
{'C37E14567097'},15.975000,64.002502,zone3,bottom,2024-06-18 18:06:26
{'C631F5295273'},16.209999,63.165001,zone1,bottom,2024-06-18 18:06:27
{'C571D4304234'},15.860000,64.462502,zone2,top,2024-06-18 18:06:27
{'C631F5295273'},15.900000,63.557499,zone1,bottom,2024-06-18 18:16:26
{'EEC412FDCADF'},15.750000,62.677502,zone1,top,2024-06-18 18:16:26
